X,Y,u,u_sigma,lx,ly,lz
-1.6374972985438467,2.6386231813533687,0.014013498408289917,4.125221171634532e-05,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.9694785097876908,2.885281850980704,0.0035890983992417813,4.431545811642406e-05,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.7038935407926157,2.885281850980704,0.00564315958054069,3.385454306038392e-05,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.836686025290153,3.3785991902353754,0.0048728439348450685,8.05176725115689e-05,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.836686025290153,4.026078198007131,-0.001888539571064963,0.00215683888579243,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.3055160873000031,-1.2256959761415547,0.0008392853072931418,0.0006981652885668561,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.3055160873000031,-0.5679395238019933,-0.003019833696232816,0.002872525698214888,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.3055160873000031,0.08981692853756795,-0.009425203714086049,0.0021964582803704487,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.3055160873000031,0.7475733808771292,-0.011536586460974227,0.0034053123321741243,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.438308571797541,1.2408907201318007,-0.00964174355417408,0.003835143254293149,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.1727236028024663,1.2408907201318007,-0.020508133802670258,0.004238309643295631,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.438308571797541,1.5697689463015814,-0.012315616288087604,0.004443139889000193,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.1727236028024663,1.5697689463015814,-0.014954952374636179,0.0022672839141348925,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.5047048140463093,1.8164276159289166,0.004472594000704664,0.006760749731216433,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.371912329548772,1.8164276159289166,-0.0037347592301989617,0.006192602494902798,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.537902935170694,1.9397569507425847,0.025554182874714778,0.002129859308354554,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.4715066929219252,1.9397569507425847,0.02925587575941879,0.0025880845065461085,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
